inputs,target
i enjoy skateboarding and going skiing. @ we had 5 felines but one had to go since it hated both of our mutts.,"We leave our felines and mutts home alone together when we went out skiing on the slopes, so if they don't get long the house will get destroyed."
i am in college now and want to be a teacher. @ i love fishing.,My teacher taught me how to fish.  I really love fishing.
i am a ballet dancer. @ my favorite food is hamburgers.,"But I can only eat hamburgers when I'm not preparing for my dance classes, since I need to stay in shape when I'm dancing."
i am a ballet dancer. @ my favorite food is hamburgers.,I burn off the hamburgers by dancing ballet.
i am a ballet dancer. @ my favorite food is hamburgers.,"I could never be a ballet dancer because of my figure, which demonstrates that my favorite food is hamburgers."
i have one pet. @ my parents are very interesting.,My parents like to travel a lot so we don't want to have too many pets.
i have one pet. @ my parents are very interesting.,The most interesting thing about my parents is they have only one really exotic pet called a capybara.
i have one pet. @ my parents are very interesting.,My only pet is cool.  It is a snake my parents got me on their trip to Brazil.
reality programs with music and liveliness gets my heart racing. @ i have a kitten with a sci fi name.,I am more into sci-fi myself.
reality programs with music and liveliness gets my heart racing. @ i have a kitten with a sci fi name.,I watch shows with pets.
reality programs with music and liveliness gets my heart racing. @ i have a kitten with a sci fi name.,"I am more into science fictions programs.  I have a kitten names Spock, so I guess I have a kitten with a sci fi name."
i enjoy simple but filling foods. @ my favorite novel is about a who realizes he is a commander.,I eat while I read.
i enjoy simple but filling foods. @ my favorite novel is about a who realizes he is a commander.,"I always eat when I'm reading novels, and my favorite snacks are simple foods."
i enjoy simple but filling foods. @ my favorite novel is about a who realizes he is a commander.,"I don't spend much time thinking about food, just whatever is quick so I can get back to my book."
i like long walks on the beach. @ my dad was a preacher.,My dad is a preacher and he used to certify weddings on the beach.
i am a woman. @ i own my own small marketing consulting agency.,"I am also a woman, and I work in advertising. What do you do?"
i am a woman. @ i own my own small marketing consulting agency.,I know a lot of women who run their own businesses.
i drive for work. @ i am a driver for a local bakery.,I drive a small truck.
i drive for work. @ i am a driver for a local bakery.,"Because I drive so much for work, I refuse to drive anywhere on my time off, whether it's to the store or shopping."
i drive for work. @ i am a driver for a local bakery.,I drive so much to get to work.  All that driving made me decide to handle deliveries for my bakery job since I know the area.
i curate art. @ i work in a lawyers firm.,"I curate art in my spare time on a volunteer basis. But to earn money, I work in a lawyer's firm."
i curate art. @ i work in a lawyers firm.,I have a second job.
i curate art. @ i work in a lawyers firm.,I have to buy an art piece for the lawyers firm that I work for.
i like to listen to country music. @ i can play piano.,I like to play my own music.
i like to listen to country music. @ i can play piano.,I like to play country songs on my piano.
i like to listen to country music. @ i can play piano.,"I prefer classical music, and play it on the piano"
i have a job in a supermarket. @ my spouse runs a car fixing business.,"I don't work, but my spouse fixes cars for a living."
i have a job in a supermarket. @ my spouse runs a car fixing business.,My husband is looking for a new job.
i have a job in a supermarket. @ my spouse runs a car fixing business.,That must be interesting.  I am a teacher and my spouse runs a car fixing business.
i enjoy spending time with my toes in the sand. @ i like to celebrate with friends.,"I enjoy spending time with my toes in the sand so I just got a lifeguard job, and my friends were so excited for me. They took me out for dinner to congratulate me and it was great because I like to celebrate with my friends."
i enjoy spending time with my toes in the sand. @ i like to celebrate with friends.,"I like going to the beach and sitting in the sand, too, especially with my friends. Celebrating with my friends at the beach is always so much fun."
i enjoy spending time with my toes in the sand. @ i like to celebrate with friends.,Having bonfires on the beach in the summer is one of my favorite activities.
i enjoy spending time with my toes in the sand. @ i like to celebrate with friends.,I love going to the beach with friends.
i enjoy spending time with my toes in the sand. @ i like to celebrate with friends.,"Yes, time on the beach.  That's where I party--I like to celebrate with friends."
i enjoy spending time with my toes in the sand. @ i like to celebrate with friends.,"Last birthday I went with my friends to celebrate at the ocean, where we ran around the sand all day."
i have three great dogs. @ my career is very important to me.,They help me when I'm stressed which is a lot because
i have three great dogs. @ my career is very important to me.,I love my dogs.  I work hard at my job to support my animals.
i have three great dogs. @ my career is very important to me.,Luckily I am able to take my dogs with me to work.
i hate cleaning. @ i like books about trains.,I'd rather just spend my free time reading.
i hate cleaning. @ i like books about trains.,I dislike cleaning as well and I would prefer to sit and read. I like books about trains.
i hate cleaning. @ i like books about trains.,I abhor cleaning but love to read about trains.
i love my dog. @ i am still in school.,I wish I could spend more time with him.
i love my dog. @ i am still in school.,I am a vet.
i love my dog. @ i am still in school.,When I was in college I took in one of my classmate's dog but it ran away.
i like football. @ my favourite band is kings of leon.,"My favorite football team if from Tennessee, the Titans!  Do you like other things from Tennessee, like the band Kings of Leon?"
i like football. @ my favourite band is kings of leon.,"When i go to the games, sometimes there is a live band performing at halftime."
i like football. @ my favourite band is kings of leon.,I used to listen to Kings of Leon when I was working out for football practice.  They are my favorite band.
i hate seeing animals in pain. @ i try to keep active.,I joined Green Peace.
i hate seeing animals in pain. @ i try to keep active.,I volunteer at an animal shelter when I have free time.
i hate seeing animals in pain. @ i try to keep active.,I don't like suffering at all.  That's why I stay active.
being a determined lady gets me far in life. @ my job involves saving lives.,I don't think I could do my line of work if I didn't have determination.
being a determined lady gets me far in life. @ my job involves saving lives.,"I agree, it's a quality I value very much. I have to, in my profession as a caregiver."
being a determined lady gets me far in life. @ my job involves saving lives.,I pursued a career as an EMT.
i like working with numbers. @ my many siblings were a big part of my home life.,I taught my siblings how to do math when I was younger.
i like working with numbers. @ my many siblings were a big part of my home life.,Some of my siblings are good at numbers and I enjoy hanging around with them because my many siblings were a big part of my home life.
i like working with numbers. @ my many siblings were a big part of my home life.,My father was an accountant.  It was a good way to support the large family that we had.
i workout every day. @ i do not get to see my parents very often.,I don't see my parents often since I workout all the time.
i workout every day. @ i do not get to see my parents very often.,There is a gym by my parents home.  I'm going to stop by when I visit them for the holidays.
i workout every day. @ i do not get to see my parents very often.,I am always busy working out and working.
i really like all kinds of food but i prefer mexican. @ i watch performing arts.,I just went to a production about the Day of the Dead.
i really like all kinds of food but i prefer mexican. @ i watch performing arts.,"I like everything Mexican, especially salsa dancing."
i really like all kinds of food but i prefer mexican. @ i watch performing arts.,The performing Arts Center serves Mexican cuisine.
i like to move to the music. @ i like the hue of the sky.,I like dancing outside under the sky.  I love the color of the sky.
i like to move to the music. @ i like the hue of the sky.,Some music feels like it has colors.
i like to move to the music. @ i like the hue of the sky.,I like dancing outside.
" i am an artist , i work with watercolors. @ i hate christmas.",I do watercolor paintings instead of celebrating Christmas.
" i am an artist , i work with watercolors. @ i hate christmas.",I like the paintings on Christmas cards
" i am an artist , i work with watercolors. @ i hate christmas.",I love doing art.  However I make no money from it so I can't buy Christmas gifts.
i was a pilot a long time ago. @ i read a lot of young adult fiction.,"I can't pilot a plane, but I do fly on airlines often for work, which is great because it gives me plenty of time to read a lot of young adult fiction."
i was a pilot a long time ago. @ i read a lot of young adult fiction.,I like reading books while on a plane.
i was a pilot a long time ago. @ i read a lot of young adult fiction.,"I've never been able to work, as I'm disabled. I spend a lot of time reading."
i have a very strong body. @ i like historical films.,"My favorite historical film, Spartacus, inspired me to work out and get a strong body like the gladiators in that movie."
i have a very strong body. @ i like historical films.,I like watching classic bodybuilding videos.
i have a very strong body. @ i like historical films.,Ancient warriors depicted in history all had strong body that I admire so I like historical films.
i watch kids. @ i have always liked nice cars.,My child wants to become a car designer.
i watch kids. @ i have always liked nice cars.,"I don't mind babysitting, but I don't want my own. They aren't compatible with my corvette."
i watch kids. @ i have always liked nice cars.,I take them for rides in my Jaguar.
i read a lot of used books. @ i like cats.,My cat curls up in my lap when I read.
i read a lot of used books. @ i like cats.,I found a bookstore that features the owner's three cats because I like cats.
i go to the water and use my boat. @ i bite my fingernails.,"While im in my boat on the water, i always bite my fingernails."
i go to the water and use my boat. @ i bite my fingernails.,I sometimes get nervous when I'm out on the water.
i go to the water and use my boat. @ i bite my fingernails.,Sometimes being out on the water makes me nervous.
i work regular hours just like the guy next to me. @ i never hope to stop working no matter how old i become.,i am the oldest person i know who still works
i work regular hours just like the guy next to me. @ i never hope to stop working no matter how old i become.,I work a lot of hours too.  I don't think that I will ever retire.
i work regular hours just like the guy next to me. @ i never hope to stop working no matter how old i become.,"I have a neighbor that just retired, and he's bored to death."
i study to be a businessman. @ i like to celebrate with friends.,I just graduated from business school and will go out to celebrate.
i study to be a businessman. @ i like to celebrate with friends.,"When I got my business degree, I partied with my friends."
i study to be a businessman. @ i like to celebrate with friends.,I passed my business exam.
i like the hue of the sky. @ my dear ones are my biggest strength and weakness.,"I love when the sky has a certain hie, which makes me think of my guardian angels who are a strenght to me."
i like the hue of the sky. @ my dear ones are my biggest strength and weakness.,I find beauty in things that others do not and am a very introspective type person.
i like the hue of the sky. @ my dear ones are my biggest strength and weakness.,The blue sky makes me think about my family.
i like the hue of the sky. @ my dear ones are my biggest strength and weakness.,I look at the sky with my children.
i like the hue of the sky. @ my dear ones are my biggest strength and weakness.,I take my dear ones outside to play every weekend.
i like the hue of the sky. @ my dear ones are my biggest strength and weakness.,I like lying out with my spouse on a summer night watching the stars.
my spouse runs a car fixing business. @ i have a job in a supermarket.,I am currently looking for a job.
my spouse runs a car fixing business. @ i have a job in a supermarket.,My partner fixes cars for a living.  My job is in a supermarket.
my spouse runs a car fixing business. @ i have a job in a supermarket.,His business does not make enough money for bills. I went out and found work.
i raise animals. @ i help take care of pets.,I work at the shelter.
i raise animals. @ i help take care of pets.,"That's cool, is that your job? What exactly do you do?"
i raise animals. @ i help take care of pets.,I grew up on a farm.  Now I work taking care of animals.
i raise animals. @ i help take care of pets.,"I raise animals at home, which is a perfect complement to my job at the veterinary office where I help take care of pets."
i raise animals. @ i help take care of pets.,I was born on a farm.  I love caring for pets.
i raise animals. @ i help take care of pets.,I have a dog that needs dogsitting.
the color of my locks in not natural. @ i have no siblings.,"Since I had no brothers or sisters, my mom had to teach me how to cut and dye my hair when I was growing up."
the color of my locks in not natural. @ i have no siblings.,My sibling has a different hair color than me.
the color of my locks in not natural. @ i have no siblings.,I used to try all kinds of weird things with my hair when I was bored as a child.
i love to read. @ i have a toddler.,"Unfortunately, I don't get to read much any more because I have no time."
i love to read. @ i have a toddler.,"But these days, I'm mostly reading childrens books outloud to my toddler."
i love to read. @ i have a toddler.,"I love to read so I value my peace and quiet, which can be tough because as of recently I have a toddler."
i have a lot of pets. @ i have tons of buddies.,My friends come over often to see my pets.
i have a lot of pets. @ i have tons of buddies.,I consider all my pets my friends as well.
i have a lot of pets. @ i have tons of buddies.,"They say people who love animals are more sociable, which is true for me. I have a lot of animals and a lot of friends."
i have a lot of pets. @ i have tons of buddies.,I don't think I have the patience to deal with pets.  I like having my friends that go home at night.
i have a lot of pets. @ i have tons of buddies.,"All of my buddies have pets and I have none, so whenever they're out of town I babysit their animals. Sometimes it feels like I also have a lot of pets!"
i have a lot of pets. @ i have tons of buddies.,I like to hang out with my dogs and friends at the park.
i have lots of friends. @ i do not like music.,I don't like to listen to music with my friends.
i have lots of friends. @ i do not like music.,I have a lot of friends and I like doing things with them--everything except going to concerts because I do not like music.
i have lots of friends. @ i do not like music.,We don't go to concerts much.
desert is my favorite type of food. @ i enjoy jogging.,I have to exercise more and more because I love dessert so much that I've been gaining weight.
desert is my favorite type of food. @ i enjoy jogging.,I love desert.  I don't feel guilty eating it because of how much I jog.
desert is my favorite type of food. @ i enjoy jogging.,I jog to work off the desert I like to eat.
i work on my days off. @ i spend a lot of time answering phones.,People are always getting me to hang out.
i work on my days off. @ i spend a lot of time answering phones.,I work a lot too.  I work in a place answering phones.
i work on my days off. @ i spend a lot of time answering phones.,I work from home with a call center.
i love to surf. @ i am starting a new juicing bar.,I juice before i surf.  Right now i am starting a new juicing bar.
i love to surf. @ i am starting a new juicing bar.,I’m thinking of starting a new juicing bar and the beach would be a great location for it because I know a lot of surfers would love some healthy juices.
i take care of animals for my job. @ in my home we have several canines.,I adopted a few dogs from the shelter I work at.
i take care of animals for my job. @ in my home we have several canines.,"I take care of animals for my job and it's a great place to work because I am an animal lover, which is why in my home we have several canines."
i take care of animals for my job. @ in my home we have several canines.,I adopted the canines from an animal shelter I used to work at.
i take care of animals for my job. @ in my home we have several canines.,Animals enrich our life. That's why in my home we have several canines.
i take care of animals for my job. @ in my home we have several canines.,"I was unable to afford veterinary school after high school and had to settle on a different career path, but I still love caring for the dogs we've adopted at our home."
i take care of animals for my job. @ in my home we have several canines.,I sometimes volunteer as a dog walker.
i work many hours rehearsing for my show. @ i am a ballet dancer.,I'm dedicated to my career.
i work many hours rehearsing for my show. @ i am a ballet dancer.,The hardest part about ballet is having to rehearse for hours and hours on end to get the performance just right.
i work many hours rehearsing for my show. @ i am a ballet dancer.,What kind of show?
i enjoy viewing the animals in the wild. @ i love videotaping my dog doing cute stuff.,"I enjoy viewing the animals in the wild and I've made some great videos of them. Doing so inspired me at home, too, where I love videotaping my dog doing cute stuff."
i enjoy viewing the animals in the wild. @ i love videotaping my dog doing cute stuff.,I take videos of animals whenever I can.
i enjoy viewing the animals in the wild. @ i love videotaping my dog doing cute stuff.,I've started videotaping everything. I even videotaped the wild animals I saw when I took a vacation to the Grand Canyon.
" my dad was a proud soldier , too. @ i am not a vegan.",I grew up on the cattle ranch that was passed down to my dad.
" my dad was a proud soldier , too. @ i am not a vegan.",My dad ate meat on the battle field.
" my dad was a proud soldier , too. @ i am not a vegan.",It was hard for my dad because there was no vegan option in the army.
my office is the internet. @ i love steaks.,I couldn't handle being cooped up in an office. I even barbecue all my meals so I can be outdoors.
my office is the internet. @ i love steaks.,I was on the internet the other day.  Did you know you can order steaks online?  I love steaks.
my office is the internet. @ i love steaks.,"My office is the kitchen.  I love to cook and eat, and especially I love steaks."
i wanted something other than red to color my fingers. @ i went past my masters and have higher qualifications in the books and letters of rome.,I'm not only into fashion. I'm also highly educated.
i wanted something other than red to color my fingers. @ i went past my masters and have higher qualifications in the books and letters of rome.,Red was a particularly thematic color in ancient rome.
i wanted something other than red to color my fingers. @ i went past my masters and have higher qualifications in the books and letters of rome.,Coloring my fingers makes me look distinguished.  Another way I stand out is getting all of my college degrees.
i have always wanted to cook for people. @ i buy a lot of clothes.,Cooking and sewing are important home skills. I want to sew so I don't spend too much on clothes.
i have always wanted to cook for people. @ i buy a lot of clothes.,Cooking connects me with people.  I also connect with people buy showing off all my clothes.
i have always wanted to cook for people. @ i buy a lot of clothes.,I usually spend all my money on buying clothes so I don't have a lot left over for entertaining
1984 is my favorite book. @ i love book.,I love to read 1984.
1984 is my favorite book. @ i love book.,I find reading relaxing when I am stressed.
1984 is my favorite book. @ i love book.,I read so many book.
i am a competitive ski racer. @ although i ski down high hills,Thats cool. Those high hills look scary.
i am a competitive ski racer. @ although i ski down high hills,I don't like high terrain.
i am having kids soon. @ i am a father.,I have yet to raise a child.
i am having kids soon. @ i am a father.,I already have kids.  I'm a father.
i am having kids soon. @ i am a father.,You are going to love having children.
my mom takes care of my grandma. @ i stay asleep all night.,I couldn't do that.  I need to get my sleep at night.
my mom takes care of my grandma. @ i stay asleep all night.,My grandma has a hard time sleeping at night.
my mom takes care of my grandma. @ i stay asleep all night.,"My mom takes care of my grandma which keeps her up late sometimes. Not me, though; I am able to stay asleep all night."
my boyfriend is in acting school. @ i am a great baker.,He needed some cakes for props in a play.  So I baked some.
my boyfriend is in acting school. @ i am a great baker.,"How that's incredible! My girlfriend is currently in culinary school, she wants to work with pastries."
my parents had more than one child. @ i talk to a mental health professional but i do not think she gets me.,"My parents only had me, which was definitely more than they should have had."
my parents had more than one child. @ i talk to a mental health professional but i do not think she gets me.,"I am an only child and I think that may have negatively affected me.  I talk to a mental health professional, but I do not think she get me."
my parents had more than one child. @ i talk to a mental health professional but i do not think she gets me.,My parents sent me to therapy.
i like to eat beef. @ i enjoy music.,My interests don't really revolve around food.
i like to eat beef. @ i enjoy music.,I like listening to music while I eat.
i like to eat beef. @ i enjoy music.,I listen to the background songs at McDonalds.
i am going to school to get a degree now. @ i like to play sports and get fresh air.,"I went to school on a football scholarship. I enjoy sports, and getting fresh air."
i am going to school to get a degree now. @ i like to play sports and get fresh air.,I have fond memories of being in college and playing sports in the warm spring air.
i tell jokes on stage. @ i do not know many people.,I would be way to shy for anything like that.
i tell jokes on stage. @ i do not know many people.,I use humor to get friends.
i tell jokes on stage. @ i do not know many people.,I get nervous in front of people.
i have a weird hobby of hunting giant reptiles in remote locations !. @ my vehicle is a dark color.,I need to be camouflaged o catch them.
i have a weird hobby of hunting giant reptiles in remote locations !. @ my vehicle is a dark color.,I once had a pet chameleon and he blended in with my dark colored rug and I almost swept him up in my vaccuum.
i have a weird hobby of hunting giant reptiles in remote locations !. @ my vehicle is a dark color.,Giant reptiles fit in the description of my car because my vehicle is a dark color.
i enjoy shopping. @ i don t have children.,I love to go shopping.  It's easy when you don't have any kids to worry about.
i enjoy shopping. @ i don t have children.,I remember shopping for school clothes.
i take care of people. @ i excercise my right as a us citizen.,I take care of people whenever I can. I fight for equal rights and exercise my right as a us citizen.
i take care of people. @ i excercise my right as a us citizen.,Is that your job? Or are you just a nice person? Also did you buy a gun recently?
i take care of people. @ i excercise my right as a us citizen.,"Being  a secret service agent is very rewarding and  lets me carry a gun,"
i have two cats. @ i like to eat tune.,Feline food smells like fish.
i love animals. @ i am a retired computer programmer.,I get to spend more time with my dog now that I am a retired computer programmer.
i love animals. @ i am a retired computer programmer.,I spend most of time helping nurse animals back to health nowadays. It gave me a purpose now that I am a retired computer programmer.
my mom is the best baker in my family. @ i am in my second year of medical school.,My family are all doctors who aren't good at baking. I am in my second year of medical school.
i like to surf. @ i am a mechanic.,I wish I could travel to exotic places to surf.  I don't make enough money to do that as I am a mechanic.
i like to surf. @ i am a mechanic.,What is it you do for a living?
i like skateboarding. @ my favorite food is pizza.,I don't usually have time to cook because I am always skateboarding.
my father passed away when i was a teen. @ i am in advertising.,"I had to get a job as a teenager because my parents both died young, and the advertising world gave me the stability I needed."
my father passed away when i was a teen. @ i am in advertising.,It has been tough but I still succeeded.
my father passed away when i was a teen. @ i am in advertising.,Sad to hear that happened then. How did you cope with it?
i love to run. @ i have a lot of trophies from my childhood.,I ran track when I was a kid and I was pretty good. I've kept a lot of my trophies from my childhood.
i love to run. @ i have a lot of trophies from my childhood.,I used to run competitively.
i saw the sun change with out help. @ i always found video games to be fun.,"I think the visuals in video games are always more interesting than the visuals of the real world, even spectacular ones like the sun."
i saw the sun change with out help. @ i always found video games to be fun.,The sun does that every day! Did you get up early? What kind of things do you do for fun?
i saw the sun change with out help. @ i always found video games to be fun.,The sun getting darker on its own was cool.  It was almost as cool as the new Mario game I play.
i enjoy playing tennis. @ i am an aspiring singer.,My favorite color is blue.
i enjoy playing tennis. @ i am an aspiring singer.,i'm not that into sports. i do want to be a singer though.
my parents are divorced and my mom and i get along well. @ i work with computers.,I had to get a high paying computer job to help support my single mother after the divorce.
my parents are divorced and my mom and i get along well. @ i work with computers.,My parents got a divorce when I was going to school for computers
my parents are divorced and my mom and i get along well. @ i work with computers.,"That's good, my parents are also divorced, but my mom and I don't really have a relationship. She doesn't approve of my job, what do you do for work?"
i like bright colors. @ i ride in a sporty vehicle.,My car is a bright color.
i like bright colors. @ i ride in a sporty vehicle.,My sporty vehicle has bright colors.
i like bright colors. @ i ride in a sporty vehicle.,"I like darker colors for everything. Even my car is black, what kind of car do you have? What color is it?"
my job helpe me teach kids. @ education is a passion of mine.,That is the best way to use your time.
my job helpe me teach kids. @ education is a passion of mine.,"Yes, I am a teacher too.  Education is a passion of mine."
my job helpe me teach kids. @ education is a passion of mine.,I admire educators.
my job helpe me teach kids. @ education is a passion of mine.,"Education has always been a passion of mine as well, though instead of kids, I teach ESL classes at a night school for immigrating adults."
my job helpe me teach kids. @ education is a passion of mine.,I love helping people learn
my job helpe me teach kids. @ education is a passion of mine.,I admire educators.
i am a girl who loves sports cars and video games. @ i like swimming.,"I'm not a big fan of video games, I prefer to read, and I go swimming every morning. Do you like swimming?"
she taught me to cook. @ i have a dog.,I liked pet sitting for her.
she taught me to cook. @ i have a dog.,I adopted my dog from a neighbor who was from Vietnam and once told me his people cooked and ate dogs back home.
my sister is a published author. @ i vacation in florida every winter.,After writing her last book my sister moved to Florida.
my sister is a published author. @ i vacation in florida every winter.,My sister lives in Florida now.
my sister is a published author. @ i vacation in florida every winter.,She moved to Florida.  I love to see her so I vacation in Florida every winter.
i enjoy throwing a ball down a lane. @ i love kids and am a doctor.,"Kids also love bowling, so sometimes I take them go out to the local bowling alley when I'm through treating them."
i enjoy throwing a ball down a lane. @ i love kids and am a doctor.,"That's cool, do you do this with your family? Do you have a family?"
i enjoy throwing a ball down a lane. @ i love kids and am a doctor.,I don't usually have that much time to bowl since I am working.
my canines stay at my residence alone when i travel to see family. @ i own a car.,I don't have any pets.  I don't think I'd like them in my car.
my canines stay at my residence alone when i travel to see family. @ i own a car.,"It's a new car and I won't let my dog inside because he'll get hair everywhere, so he also has to stay home alone when I go driving."
my canines stay at my residence alone when i travel to see family. @ i own a car.,My dogs simply cannot come with me.  They are too big for my small car.
i do not consume any meat or dairy products. @ my religion is catholic.,I don't eat any meat or dairy products.  A lot of other Catholics do though.
i do not consume any meat or dairy products. @ my religion is catholic.,I hear many buddhists don't eat meat or dairy.
i do not consume any meat or dairy products. @ my religion is catholic.,"Catholicism allows you to eat whatever you want, but I'm lactose intolerant and can't have dairy."
females from other countries are pretty. @ i enjoy relaxing and getting flowers.,Woman around the world are so beautiful its like looking at flowers.
females from other countries are pretty. @ i enjoy relaxing and getting flowers.,"Yeah, I follow this French Florist and she is so pretty, I wish that I lived in France so I could buy some followers from her."
females from other countries are pretty. @ i enjoy relaxing and getting flowers.,I think that females all love getting flowers.  I love picking them myself.
females from other countries are pretty. @ i enjoy relaxing and getting flowers.,i like giving women flowers
females from other countries are pretty. @ i enjoy relaxing and getting flowers.,"Females from other countries are pretty, but some foreign places have odd customs. For instance, I'm dating this girl right now who comes from a place where the woman woos the man. But that's okay because I enjoy relaxing and getting flowers."
females from other countries are pretty. @ i enjoy relaxing and getting flowers.,I think anything feminine is beautiful.  I love flowers too.
i make the greatest dessert all my friends say so. @ my preferred style of jeans is from the dk line.,I just hate it when dessert gets on my clothes.
i make the greatest dessert all my friends say so. @ my preferred style of jeans is from the dk line.,I like my jeans too much to let myself eat many desserts.
i make the greatest dessert all my friends say so. @ my preferred style of jeans is from the dk line.,"I like dessert, but if I eat too much, I won't be able to fit into my jeans.  I like things in the DK line."
