inputs,target
i hate to be a disappointment to the people i love. @ i want a girlfriend.,I don't want to be a disappointment to my future girlfriend.
i hate to be a disappointment to the people i love. @ i want a girlfriend.,"I've gotten a lot better at interpersonal relationships, that's why I think I'm ready for a girlfriend."
i hate to be a disappointment to the people i love. @ i want a girlfriend.,"My family expects me to get married and have kids, so when I'm single it disappoints them."
i hate to be a disappointment to the people i love. @ i want a girlfriend.,My parents want me to have a girlfriend.
i hate to be a disappointment to the people i love. @ i want a girlfriend.,"Having people you love know they can rely on you is one of life's great satisfactions. I'm missing that right now, someone who depends on me, to fix that I want a girlfriend."
i hate to be a disappointment to the people i love. @ i want a girlfriend.,"i know,my brother worries all the time about what his girlfriend thinks of him."
my wedding is set for april 11. @ i want candy.,What kind of stuff are you getting or preparing for the wedding?
my wedding is set for april 11. @ i want candy.,I am thinking of what I should give people for wedding favors.
my wedding is set for april 11. @ i want candy.,At my wedding I want people to enjoys themselves with sweets.  That is why at the reception I'll serve lots of candy.
i hope i get to go skydiving while i still can. @ i own reptiles.,I like to live on the edge myself through my choice of pets.
i hope i get to go skydiving while i still can. @ i own reptiles.,I am not quite that adventurous.
i hope i get to go skydiving while i still can. @ i own reptiles.,i like interesting hobbies
i like to surf. @ i am a mechanic.,I wish I could travel to exotic places to surf.  I don't make enough money to do that as I am a mechanic.
i like to surf. @ i am a mechanic.,What is it you do for a living?
i love to sing. @ i like to cook breakfast on sundays.,I relax by singing in the shower on sundays.
i live in the country. @ my work is in leadership at safeway.,i commute to work in the city
i live in the country. @ my work is in leadership at safeway.,I live way out in the country which creates a long drive into work at Safeway.
i live in the country. @ my work is in leadership at safeway.,I have to travel a good ways to get to work.
health is important to me. @ i use a wheelchair.,"Same, that's why exercise is so important to me. Do you run or do any physical activities?"
health is important to me. @ i use a wheelchair.,Health is very important to me. It's important I stay strong because I use a wheelchair and it's not always easy.
health is important to me. @ i use a wheelchair.,I try to stay healthy.  It's hard to get around when you are in a wheelchair though.
i am relocating for a job. @ my mom was a british ballerina.,"I hope it is an interesting job, though I don't think you'll be able to match my mom; my mom was a British ballerina."
i am relocating for a job. @ my mom was a british ballerina.,I grew up in Britain.  My mom was a ballerina there.
i am relocating for a job. @ my mom was a british ballerina.,The UK has a lot of openings for jobs right now.
i have always liked nice cars. @ my wedding is set for april 11.,I'll ride a nice limo to my wedding.
i have always liked nice cars. @ my wedding is set for april 11.,I have always liked nice cars and my fiancé said he's going to rent a classic Rolls Royce for when we get married. I can't wait—and it won't be long now because my wedding is set for April 11.
i have always liked nice cars. @ my wedding is set for april 11.,I wish I had a nice car.  It would be great to take on my honeymoon; my wedding is set for April 11.
my parent works to help children. @ i am a cashier in a supermarket.,I work with my mom.  We work as cashiers in the supermarket.
my parent works to help children. @ i am a cashier in a supermarket.,I work next door to my parent's job.
my parent works to help children. @ i am a cashier in a supermarket.,"My parent works to help children and he spends so much time volunteering with needy kids. I would do the same if I could, but I have to work as many hours as I can just to survive because I am a cashier in a supermarket making next to nothing."
i fell in love this summer. @ i hate school.,I fell in love with my girlfriend whom I met during my summer vacation.  I have to go back to college away from her and now I hate school.
i fell in love this summer. @ i hate school.,School without air conditioner in the summer make me sweat and suffer so I hate school.
my husband and i have 4 daughters and 1 son. @ i hate seeing animals in pain.,Our family adopted a dog from the streets.
my husband and i have 4 daughters and 1 son. @ i hate seeing animals in pain.,They are all depressed about our sick puppy.
my husband and i have 4 daughters and 1 son. @ i hate seeing animals in pain.,"I don't have any children myself, but  I hate seeing needy animals in pain, so the ones I foster from vet clinics end up feeling like family."
i just started college. @ i like eating vegetables.,I  live in my college dorm.  My college cafeteria does not serve enough vegetables and I like eating vegetables.
i just started college. @ i like eating vegetables.,"It's really hard for me to eat healthy in the dining hall.  There aren't many vegetables to chose from, and I really like eating vegetables."
i just started college. @ i like eating vegetables.,Congratulations! What do you like to eat at college?
i have won tap dance competitions. @ i love to bake cakes.,That's exciting! I don't really know how to dance but I can bake. I love to bake cakes.
i spend a lot of time outside. @ i care about the environment.,I like to clean up as I walk in nature.
i spend a lot of time outside. @ i care about the environment.,I like the outdoors as well. I love nature and want to preserve it.
i spend a lot of time outside. @ i care about the environment.,I spend a lot of time outside appreciating nature because I care about the environment.
my locks are chestnut. @ i am a educator.,I like this color since I feel it suits one for their job sometimes.
my locks are chestnut. @ i am a educator.,My locks are a nice chestnut color and kids play with them.  They mainly do this a lot because I'm a teacher.
my locks are chestnut. @ i am a educator.,There is a little girl in my class that has chestnut hair.
i take her to the park. @ my boyfriend is unemployed.,Me and my boyfriend hang out in the park alot since he is unemployed.
i prefer beasts to humans. @ i am kind of a pet hoarder.,I don't like people as much as pets either.  I have a lot of pets.
i prefer beasts to humans. @ i am kind of a pet hoarder.,I definitely feel the same way.
i prefer beasts to humans. @ i am kind of a pet hoarder.,I would like to get my first pet.
i love food. @ i love to travel.,I love trying food in foreign countries. I really want to travel soon.
i love food. @ i love to travel.,I love trying new restaurants when traveling overseas.
i love going to concerts on the weekend. @ i collect stamps.,Hobbies are fun to have.  I collect stamps as a hobby and I love to collect stamps of famous musicians.
i love going to concerts on the weekend. @ i collect stamps.,I like to go to concerts once in a while but my stamp collection hobby takes up too much of my free time anymore.
i love going to concerts on the weekend. @ i collect stamps.,My favorite animal is a cat.
i like football. @ we drink beer and eat food.,Football parties are great.  I love to have parties and drink beer and eat food.
i like football. @ we drink beer and eat food.,I like watching football with my friends. We go to someone's house and we drink beer and eat food.
i am currently looking for a job. @ i am not a fan of science.,I think I'd enjoy working in a lab.
i am currently looking for a job. @ i am not a fan of science.,"I actually quit my last job because it involved science, so now I'm looking for a job in business instead."
i am currently looking for a job. @ i am not a fan of science.,There are a lot of positions available for scientists.
i like books about trains. @ my cat died.,I have tons of books about cats. I guess I don't need them now.
i love winning. @ coffee is important to me.,Coffee keeps me alert to help me win.
i love winning. @ coffee is important to me.,"In order to win, I need to be awake and drink coffee a lot."
i love winning. @ coffee is important to me.,"I love winning and I'm so thrilled because I just came in first in a competition for which the grand prize was a year's supply of coffee, which is perfect because coffee is important to me."
i am a lover of italian food. @ my father has a very prestigious job.,My father is the local butcher
i am a cashier in a supermarket. @ my parent works to help children.,I wish I had a more fulfilling job.
i am a cashier in a supermarket. @ my parent works to help children.,A lot of times I notice people may follow employment patterns or choices of those around them.
i am a cashier in a supermarket. @ my parent works to help children.,On holidays my parents and the children they work with all volunteer their time at the supermarket to collect money for the salvation army.
i am a cashier in a supermarket. @ i enjoy going to see them occasionally.,"They also work at the supermarkets, and I go see them when I go shopping."
i am a cashier in a supermarket. @ i enjoy going to see them occasionally.,I don't usually have money to spare but when I do I like to visit my parents.
i am a cashier in a supermarket. @ i enjoy going to see them occasionally.,I am a cashier in a supermarket and I've made friends with some of the regular customers. They're so cool that I enjoy going to see them occasionally.
i love to use oils to create vivid landscapes. @ i take care of my body.,I avoid oils though because of the chemicals.
i love to use oils to create vivid landscapes. @ i take care of my body.,I use lead-free oils.
i love to use oils to create vivid landscapes. @ i take care of my body.,Oils are good for skin and I take care of my body with it.
my children are my life. @ i love kids and am a doctor.,I work with kids and love to spend time with my own kids.
my children are my life. @ i love kids and am a doctor.,"Honestly, it's not just my kids, but all kids."
my children are my life. @ i love kids and am a doctor.,Usually parents or those with kids will say that -- it makes sense though from a bare perspective on life and health/living altogether I suppose.
my daughters say i am a great mother. @ i have a family of three daughters.,How many children do you have?
my daughters say i am a great mother. @ i have a family of three daughters.,You must be very proud of your accomplishment.  I know motherhood is hard and challenging since I have a family of three daughters.
i constantly have feelings of anger. @ i hang out in clubs and look at the folks drinking.,I get mad a lot too.  I think I need to stay out of clubs where there is too much drinking.
i constantly have feelings of anger. @ i hang out in clubs and look at the folks drinking.,My friends and family annoy me so I just like to people watch.
i constantly have feelings of anger. @ i hang out in clubs and look at the folks drinking.,"I constantly have feelings of anger, especially since I've stopped drinking. It's probably not a good idea that I hang out in clubs and look at the folks drinking."
i think posting pics on facebook of my everyday life is fun. @ cooking is my passion !.,I love posting pics.  I always post what I have cooked.
i think posting pics on facebook of my everyday life is fun. @ cooking is my passion !.,I love posting about my hobbies on Facebook.
i think posting pics on facebook of my everyday life is fun. @ cooking is my passion !.,Sounds like something you are passionate about.  Cooking is my passion!
i think posting pics on facebook of my everyday life is fun. @ cooking is my passion !.,I cook when I am not posting pics on facebook.
i think posting pics on facebook of my everyday life is fun. @ cooking is my passion !.,I post pictures of myself cooking.
i think posting pics on facebook of my everyday life is fun. @ cooking is my passion !.,Using Facebook is a good form of entertainment.  I use Facebook to post pics of my passion for cooking.
i enjoy learning. @ i like to absorb written materials.,"Many people learn best by reading, but some learn best by doing."
i enjoy learning. @ i like to absorb written materials.,I am always seeking to gain knowledge.  One method I use is absorbing written materials.
i enjoy learning. @ i like to absorb written materials.,Learning is fun to me.  I can absorb written material like a sponge.
i enjoy simple but filling foods. @ studying peoples lives helps me fall asleep.,I find that interesting and would like to know more so I can use it to go to sleep.
i enjoy simple but filling foods. @ studying peoples lives helps me fall asleep.,Food makes me tired.  Another thing that makes me tired is studying people's lives.
i enjoy simple but filling foods. @ studying peoples lives helps me fall asleep.,I like reading about chefs.
i love to workout. @ i am glad that i work from home.,I have a home gym.
i love to workout. @ i am glad that i work from home.,I’m glad that I work from home because it gives me a great opportunity to do various exercises while I’m working.
i am a musician. @ i like to write my own songs.,"I write songs for my musician career,"
i am a musician. @ i like to write my own songs.,"I want to share my feelings,"
i am a musician. @ i like to write my own songs.,I'm not a musician but I love singing. I even like to write my own songs.
my place of residence is floating on a river. @ i own more than one canine but less than three.,I have two dogs on my river house.
my place of residence is floating on a river. @ i own more than one canine but less than three.,I live there with my dogs.
my place of residence is floating on a river. @ i own more than one canine but less than three.,"I take my dogs fishing with me on the canoe boat, and I often see houseboats floating along the river when I go fishing early in the morning."
i used to be in the army and i did some fighting. @ i curate art.,Now I have changed my profession.
i used to be in the army and i did some fighting. @ i curate art.,"I prefer peace, love and the hippie way more than wars, violence and things of such."
i used to be in the army and i did some fighting. @ i curate art.,"I like to box, martial arts, and drawing as hobbies."
i love to read. @ i have none to share my thoughts about the books i read.,"Books are one of my favorite things, too. Maybe we can talk more in the future because I have none to share my thoughts about the books I read."
i love to read. @ i have none to share my thoughts about the books i read.,I don't live with anyone so my hobbies include reading books.
i love to read. @ i have none to share my thoughts about the books i read.,I do too. We should form a book club. I don't have anyone to share my thoughts with about books.
i create music on instruments. @ i work for the government.,"I wanted to become a musician, but I was tone deaf and decided to apply for a government position instead."
i create music on instruments. @ i work for the government.,"I create music on instruments, which takes my mind off my stressful job. It can be a lot of pressure because I work for the government."
i create music on instruments. @ i work for the government.,I create music when I am not working.
i have hit alot of attractions. @ i like to walk through nature.,I have been able to hit a lot of attractions because I love to walk through nature.
i have hit alot of attractions. @ i like to walk through nature.,I like to vacation in the mountains to see the attractions and to see the beauty of the parks.
i have hit alot of attractions. @ i like to walk through nature.,My favorite attractions are National Parks.
i like people of the same sex and gender as me. @ i enjoy fixing my brew.,I like drinking with my boys instead of going on dates.
i like people of the same sex and gender as me. @ i enjoy fixing my brew.,I take them out to bars.
i like people of the same sex and gender as me. @ i enjoy fixing my brew.,"I don't really care about gender, as long as they'll join me in a cup of coffee."
i work as a doctor. @ i just got out of the hospital so i have accumulated some debt.,"Maybe you can offer me some insider advice, as I recently was discharged from the hospital and am struggling with the ensuing debt."
i work as a doctor. @ i just got out of the hospital so i have accumulated some debt.,It's hard being a patient in the US.
i work as a doctor. @ i just got out of the hospital so i have accumulated some debt.,I knew I needed surgery when I fell.
i like to raise animals. @ my spouse is a member of the military.,I raise animals while my spouse is overseas in the military.
i like to raise animals. @ my spouse is a member of the military.,"While my spouse is away on leave, I work as a veterinarian and help people take care and raise their animals."
i like to raise animals. @ my spouse is a member of the military.,I manage the farm when my husband is not around.
i break out in a rash when i have dairy. @ i have written a novel.,Do you have good digestion? I find that stress can affect the ability for one to digest or handle things in general.
i break out in a rash when i have dairy. @ i have written a novel.,To avoid a distracting rash I had to cut out dairy when writing my novel.
i break out in a rash when i have dairy. @ i have written a novel.,"I break out in a rash when I have dairy, which keeps me stuck at home when it happens. Recently I ended up being home with a rash for so long that I have written a novel."
i still am staying with my mom and dad. @ i flip burgers at mickey dees for a living.,I recently moved back home after I got kicked out of college.
i still am staying with my mom and dad. @ i flip burgers at mickey dees for a living.,I wish I had enough money to get my own place.
i still am staying with my mom and dad. @ i flip burgers at mickey dees for a living.,"I have to, too, since I don't have much money."
i work for the government. @ i enjoy perceiving nonsense stories.,When I am not working I like to read stories.
i work for the government. @ i enjoy perceiving nonsense stories.,"I work for the government, which is a very serious job. So I like being silly when I get home to blow off steam and I enjoy perceiving nonsense stories for that very reason."
i work for the government. @ i enjoy perceiving nonsense stories.,I work for the government too.  I like to spend my spare time reading funny stories though.
i work for the government. @ i enjoy perceiving nonsense stories.,i imagine your coworkers have a lot of stories to tell.
i work for the government. @ i enjoy perceiving nonsense stories.,sometimes we get prank calls
i work for the government. @ i enjoy perceiving nonsense stories.,"That sounds serious, probably too serious for me. I like silliness...in fact, I love listening to goofy stories."
i am accountant. @ i have a short commute to get to my job.,I drive to work.
i am accountant. @ i have a short commute to get to my job.,I work just down the street from where I live.
i am accountant. @ i have a short commute to get to my job.,"As an accountant, I bet you drive a fancy car to work."
my work is in leadership at safeway. @ i would love to be a professional.,I recently got a new job as an executive.
my work is in leadership at safeway. @ i would love to be a professional.,"My work is in leadership at Safeway, but someday I hope to work myself up to the executive ranks because I would love to be a professional."
my work is in leadership at safeway. @ i would love to be a professional.,I'm applying to local grocery stores for a managerial position.
i have to drink dairy free milk. @ breaded tilapia is my favorite dinner dish.,I drink dairy free milk with breaded tilapia.
i have to drink dairy free milk. @ breaded tilapia is my favorite dinner dish.,I usually have a glass of milk on the side of my meal.
i have to drink dairy free milk. @ breaded tilapia is my favorite dinner dish.,I have to drink dairy free milk because I have a sensitive stomach. But I'm fortunate that eating fish doesn't bother me because breaded tilapia is my favorite dinner dish.
i like to surf. @ i am a reality tv star.,I’m a reality TV star and have filmed a lot of scenes on the beach while people were surfing.
pets appeal to me. @ i get tired of commercials.,There are so many pet food commericals on television.
pets appeal to me. @ i get tired of commercials.,I love pets because I'm lonely.  My loneliness makes me want to focus on shows and ignore stupid repetitive commercials.
pets appeal to me. @ i get tired of commercials.,I keep seeing pet commercials.
pets appeal to me. @ i get tired of commercials.,I love pets also.  Pets and television is my two passions.
pets appeal to me. @ i get tired of commercials.,"Pets appeal to me and I love watching basic cable animal shows on TV, but I can't do it for long because I get tired of commercials."
pets appeal to me. @ i get tired of commercials.,I believe that dogs should get fresh food. Pet food commercials make me mad.
i hate ham. @ i really enjoy fruit.,I hate ham. I actually hate most meat; I prefer vegetables and I really enjoy fruit.
i hate ham. @ i really enjoy fruit.,I don't really care for any type of meat.  I really like fruit though.
i hate ham. @ i really enjoy fruit.,The only thing I like about it is when it's cooked with pineapples and I can pick the pieces of fruit out.
i have not done anything since high school. @ i love chickens.,"After high school we spent several years working on the farm, we had a lot of corn fields and more chickens than I could count."
i have not done anything since high school. @ i love chickens.,"Ive only done farming, because i love chickens."
i have not done anything since high school. @ i love chickens.,I just hang out on my father's farm
i spend a lot of my time at the mall where i work at dillards. @ i do not eat meat or anything made from animals.,When I am not working I am cooking.
i spend a lot of my time at the mall where i work at dillards. @ i do not eat meat or anything made from animals.,I pass through Dillard's when I'm going to the food court at the mall.  There is a good vegetarian place there.
i spend a lot of my time at the mall where i work at dillards. @ i do not eat meat or anything made from animals.,"I haven't been to Dillards in so long, I'll be over by the mall tomorrow, do you want to grab lunch? What kind of food do you like?"
i like working with numbers. @ my many siblings were a big part of my home life.,I taught my siblings how to do math when I was younger.
i like working with numbers. @ my many siblings were a big part of my home life.,Some of my siblings are good at numbers and I enjoy hanging around with them because my many siblings were a big part of my home life.
i like working with numbers. @ my many siblings were a big part of my home life.,My father was an accountant.  It was a good way to support the large family that we had.
my dad works in the automotive industry. @ i dream of playing music for a living.,I am more of an artist
my dad works in the automotive industry. @ i dream of playing music for a living.,I just graduate college.
my dad works in the automotive industry. @ i dream of playing music for a living.,"My father is a music teacher, it's why I want to play music for a living"
i started learning japanese at college. @ our class is planning a trip to japan.,I have been learning about their culture.
i am a competitive ski racer. @ i like football.,I also like many other sports also.
i am a competitive ski racer. @ i like football.,"In the winter, after I get off the slopes I like to gather with friends at the ski lodge.  If there's a football game on, we'll watch together because I really like football."
i am a competitive ski racer. @ i like football.,Not only do I love to ski but I also love contact sports as well.
i have feelings for a person in my past. @ i have a professional job.,"Romance has never been a priority for me. I like to focus on my career, since my job is a professional one."
i have feelings for a person in my past. @ i have a professional job.,It's hard to have feelings for someone when you have a professional job like I do.
i have feelings for a person in my past. @ i have a professional job.,My ex works at my company .
i am still in love with my ex boyfriend. @ i like football.,Mine is a quarterback.
i like sports. @ my favorite food is pizza.,I like sports too because I need to exercise a lot in order to burn off all the calories I eat. I like all sorts of food but my favorite food is pizza.
i like sports. @ my favorite food is pizza.,I like to eat pizza when watching sports.
i like sports. @ my favorite food is pizza.,I eat and drink when i watch the games on tv.
i am going to school to earn a degree. @ i do not consume meat.,I will earn my degree as a dietician.
i am going to school to earn a degree. @ i do not consume meat.,I have learned a lot of my values while in college.
i am going to school to earn a degree. @ i do not consume meat.,Earning this degree at school is going to go along way in providing income for me to afford buying vegan products.
i enlighten young minds. @ my father has a lot of knowledge about household repair.,"It is good to be able to teach young people.  When young, I learned much from my father who has a lot of knowledge about household repair."
i enlighten young minds. @ my father has a lot of knowledge about household repair.,"I grew up in a house full of kids, but work was emphasized over education."
i enlighten young minds. @ my father has a lot of knowledge about household repair.,my father used to be a school teacher.
i am a child. @ i enjoy visiting places that have a lot of action.,"People say I'm too childish because I'm always into new and exciting action, but I don't think I'm too childish, I think they're too stuffy."
i am a child. @ i enjoy visiting places that have a lot of action.,But I like to be adventurous.
i am a child. @ i enjoy visiting places that have a lot of action.,I like to have fun with my parents.
my passion is writing. @ i love to do yoga.,I find that yoga helps me to gain new ideas.
i like the weird act. @ i love to perform but now i am employed at a market.,"I like weird performances.  Sometimes I wish I still performed, but I work at a market now."
i like the weird act. @ i love to perform but now i am employed at a market.,"I had to get my market job because my performances were too weird for general audiences, and I couldn't make enough money."
i like the weird act. @ i love to perform but now i am employed at a market.,I used to perform in a circus.
i used to live in virginia now i live in pennsylvania. @ i have a medical condition that is made worse by the cold weather in my state.,I had to leave my home in pennsylvania to a warmer climate because of my health.
i used to live in virginia now i live in pennsylvania. @ i have a medical condition that is made worse by the cold weather in my state.,It hasn't been a very easy change for me to move north.
